AIRPORT;APT_ICAO;APT_IATA;APT_NAME;APT_COUNTRY;ICAO_LABEL;IATA_LABEL;YEAR;MONTH_NUM;AC_CLASS;NB_TURN_ARROUND;TOT_SDTT_MIN;TOT_ACTT_MIN;TOT_ADTT_MIN
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;7;MJ;1705;66817;80119;13302
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;8;MJ;1643;64074;75056;10982
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;9;MJ;1477;56282;65636;9354
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;10;MJ;1427;53613;61069;7456
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;11;MJ;1084;42621;48540;5919
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;12;MJ;1100;43310;50255;6945
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2017;12;MT;1;42;42;0
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2018;1;MJ;1124;43367;46663;3296
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2018;2;MJ;963;37612;43452;5840
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2018;3;MJ;1183;45752;53368;7616
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2018;4;MJ;1502;57581;68389;10808
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2018;4;H;1;180;127;-53
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2018;5;MJ;1491;56933;72149;15216
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2018;6;MT;3;146;159;13
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2018;6;MJ;1448;55551;70580;15029
EBCI;EBCI;CRL;Charleroi;Belgium;Charleroi (EBCI);Charleroi (CRL);2018;6;H;1;10;10;0
